house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,8.5,1000,6592.0506327,103353.200019,4795.7391174,11387.7897501
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,6185.4906597,87983.873634,4068.5214702,10254.0121299
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,6343.233454499999,90960.790782,4068.5214702,10411.754924699999
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,6525.880961,94062.547643,4068.5214702,10594.4024312
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,8.5,500,6277.6398136,93943.34693,4107.9891171,10385.6289307
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,8.5,500,6451.8342619000005,97380.558254,4107.9891171,10559.823379000001
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,8.5,500,6660.3925143999995,100943.722587,4107.9891171,10768.3816315
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,8.5,1000,9235.4763729,96442.949899,4795.7391174,14031.215490300001
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,8.5,1000,9426.217975,99834.585389,4795.7391174,14221.9570924
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,8.5,1000,9661.1452061,103365.507907,4795.7391174,14456.8843235
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,9057.2296039,87987.584417,4068.5214702,13125.751074099999
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,9242.3582626,90962.648144,4068.5214702,13310.8797328
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,9448.6920955,94066.028731,4068.5214702,13517.2135657
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,8.5,500,9230.5529117,93949.460263,4107.9891171,13338.5420288
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,8.5,500,9431.4132996,97386.146732,4107.9891171,13539.4024167
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,8.5,500,9663.2591684,100950.47276,4107.9891171,13771.2482855
Mod,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1749.04920932,33739.458635,4644.1453674,6393.19457672
Mod,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1875.58042008,36774.313359,4644.1453674,6519.725787480001
Mod,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2040.09208416,39826.061435,4644.1453674,6684.23745156
Mod,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2010.4272292599999,32143.810666999998,3411.4453681,5421.872597359999
Mod,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2165.8262545,35277.09233,3411.4453681,5577.271622599999
Mod,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2356.01841,38542.846953,3411.4453681,5767.4637781
Mod,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,6,500,1845.53565605,31976.813921,3956.3953671,5801.93102315
